SMILES Labelled,ConBase_pKa,pB,qB,Reference
[NH:10](CCc1nnn[n-]1)CC([O-])=O,9.23,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10](CCc1ccccc1)CCS,8.11,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10](CCc1ccccc1)CCN,9.44,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10](CCc1ccccc1)CC[S-],10.28,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10](CCC1)C1c1nc(C2NCCC2)ccc1,10.12,2,2,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10](CCC1)C1c1ccccc1,9.6,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10](CCC1)C1C1CCCCC1,10.8,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10](CCC1)C1c1cccc(C2[NH2+]CCC2)n1,9.46,4,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10](CCC1)C1c1ccc(C)cc1,9.99,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH:10](CCC1)C1C([O-])=O,10.56,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
