SMILES Labelled,ConBase_pKa,Reference
[S-:10]c1[nH+]cccc1,-1.22,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](c1ccccc1nc1OC)c1OC,-1.15,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c(C(O)=O)nccc1,-1.13,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=C(\C=C(\CCC)/N)/c1ccccc1,-1.12,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1cc([S-])[nH+]c2ccccc12,-1.11,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1ccc(-c2[nH+]cccc2)[nH]1,-1.1,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
CN(C)C=[O:10],-1.09,"Bagno, A.; Scorrano, G. J. Am. Chem. Soc. 1988, 110, 4577 - 4582."
[OH:10]c1cccc(C(O)=O)c1,-1.01,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c(C)c(C)c(C)[o]1,-1,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c[nH]c2[nH+]cnc(NCc3ccccc3)c12,-1,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c1c2nc[n]([C@H](C3)O[C@@H](CO)[C@@H]3O)c2nc(N)[nH+]1,-0.97,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
CN(C)P(=[O:10])(N(C)C)N(C)C,-0.97,"Bagno, A.; Scorrano, G. J. Am. Chem. Soc. 1988, 110, 4577 - 4582."
[N:10](Nc(cccc1)c1C(O)=O)=C(C#N)C#N,-0.96,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[S:10]=C(N)N,-0.96,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH2:10]c(ccc1ccccc11)c1[N+]([O-])=O,-0.92,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](c1ccccc1)=P(c1ccccc1)(c1ccccc1)c1ccccc1,-0.92,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=[Se](\c1ccccc1)/O,-0.9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
