SMILES Labelled,ConBase_pKa,pB,qB,Reference
[N:10]1(Cc2cnc(cc3)[n]2nc3-c2ccccc2)CCOCC1,6.21,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(Cc2cnc(c(C)c3)[n]2nc3-c2ccccc2)CCOCC1,6.01,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(Cc2ccccc2)CCCC1,9.51,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(Cc2cc(Cl)cc(Cl)c2[O-])CCOCC1,8.85,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(Cc2cc(Cl)cc(Cl)c2[O-])CCCCC1,11.12,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(Cc2c(cccc3)c3c(C)c3ccccc23)CCOCC1,6.6,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CC2)CCC2CC1,11.04,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CC2)CC[NH+]2CC1,3.07,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CC2)CC(COC(C)=O)C2CC1,10.29,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CC2)CC(CO)C2CC1,10.56,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CC2)CC(CCl)C2CC1,10.15,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CC2)CC(C)C2CC1,11.29,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CC2)C(COC(C)=O)CC2CC1,9.88,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CC2)C(CO)CC2CC1,10.85,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CC2)C(CCl)CC2CC1,9.68,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CC2)C(C)CC2CC1,11.33,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CC2)[C@@H]3c4c2c(cccc2)c2[n]4CC[C@]3(CC)CCC1,6.9,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CC2)[C@@H]3[C@H]2OC[C@@H]3CC1,9.44,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
